question,reponse,categorie,action
"bonjour","Bonjour ! Je suis l'assistant IA de FASTCUBE. Comment puis-je vous aider aujourd'hui ? Nous sommes spécialisés dans les solutions technologiques innovantes.","accueil","none"
"salut","Salut ! Ravi de vous rencontrer. Je suis là pour répondre à toutes vos questions sur nos services technologiques.","accueil","none"
"hello","Hello ! Bienvenue chez FASTCUBE. Notre équipe d'experts est prête à vous accompagner dans vos projets digitaux.","accueil","none"
"bonsoir","Bonsoir ! Même en soirée, notre équipe reste disponible pour répondre à vos questions sur nos services technologiques.","accueil","none"
"coucou","Coucou ! Ravi de vous rencontrer. Comment puis-je vous aider avec vos projets technologiques aujourd'hui ?","accueil","none"
"hey","Hey ! Bienvenue chez FASTCUBE. Notre expertise en développement, cybersécurité et cloud est à votre service.","accueil","none"
"bonne journée","Bonne journée à vous aussi ! N'hésitez pas à revenir vers nous pour vos projets technologiques.","accueil","none"
"bonne soirée","Bonne soirée ! Notre équipe reste disponible pour vous accompagner dans vos projets digitaux.","accueil","none"
"à bientôt","À bientôt ! N'hésitez pas à revenir vers nous pour vos futurs projets technologiques.","accueil","none"
"à plus tard","À plus tard ! Notre équipe reste à votre disposition pour tous vos projets digitaux.","accueil","none"
"qui êtes-vous ?","FASTCUBE est une entreprise spécialisée dans les solutions technologiques innovantes. Nous proposons des services de développement web, cybersécurité, cloud computing et conseil en transformation digitale.","about","SHOW_ABOUT"
"présentez votre entreprise","FASTCUBE est une société de conseil et de services numériques. Nous accompagnons les entreprises dans leur transformation digitale avec des solutions sur mesure en développement, cybersécurité et cloud.","about","SHOW_ABOUT"
"parlez-moi de fastcube","FASTCUBE est votre partenaire technologique de confiance. Nous créons des solutions innovantes en développement, cybersécurité et cloud pour propulser votre entreprise vers le succès digital.","about","SHOW_ABOUT"
"votre histoire","FASTCUBE a été fondée avec la vision de démocratiser l'accès aux technologies de pointe. Depuis notre création, nous accompagnons les entreprises dans leur transformation digitale.","about","SHOW_ABOUT"
"depuis quand existez-vous","FASTCUBE existe depuis plusieurs années et a accompagné plus de 200 clients dans leur transformation digitale. Notre expertise s'est construite sur de nombreux projets réussis.","about","SHOW_ABOUT"
"votre expertise","Notre expertise couvre le développement web et mobile, la cybersécurité, le cloud computing, et le conseil en transformation digitale. Nous maîtrisons les dernières technologies.","about","SHOW_ABOUT"
